line,maxCurrentA,normAmps,maxLoadingPct,meanLoadingPct,overloadHours
rbt_1607347,93.04254284975751,124.95,74.4638198077291,25.709987018667206,0
sbt_7584,93.04255298116678,163.8,56.80253539753771,19.612107076417317,0
sbt_22840,93.04254834116514,163.8,56.80253256481388,19.61210699961853,0
rbt_630758,31.600924428848913,76.65,41.227559594062505,17.1349241188849,0
rbt_637576,24.915068046262714,61.95,40.21802751616257,14.45874924445261,0
rbt_606147,25.623475010447073,76.65,33.42919114213577,12.22929497272971,0
rbt_632607,40.87359777068286,124.95,32.711963001746994,15.396898523485477,0
rbt_637918,17.930615721480113,61.95,28.94368962305103,11.127443205485081,0
rbt_1130761,25.380454453767946,90.3,28.10681556341965,13.225968759333625,0
rbt_1607350,22.1300525612864,90.3,24.507256435533115,8.725361816628881,0
rbt_605836,21.54662794659745,90.3,23.861160516719217,11.23704526454762,0
rbt_637360,14.723616467209629,61.95,23.766935378869455,11.166134900981605,0
rbt_606126,13.628601593583536,61.95,21.999356890368905,7.756458450639069,0
rbt_1633671,13.465529093535414,61.95,21.736124444770645,9.737433437485576,0
rbt_3405844,18.9923048370882,90.3,21.032452754250496,7.212182909200947,0
rbt_626476,12.72716448645556,61.95,20.54425260121963,9.664933135279059,0
rbt_606143,14.945298248152685,76.65,19.498105998894566,6.840651587546965,0
rbt_3435739,13.54058304838947,76.65,17.665470382765125,7.931935896826151,0
rbt_635862,10.802206287306872,61.95,17.436975443594626,5.951868042151815,0
rbt_605816,10.292975934506446,61.95,16.614973259897408,6.139933545129708,0
rbt_1627323,12.526229844132883,76.65,16.342113299586277,7.687737372986902,0
sbt_34378,20.565406858412373,128.1,16.054181778620123,7.87639445718505,0
sbt_34379,20.501197603038385,128.1,16.00405745748508,7.7633265745361095,0
rbt_637397,9.767053149757974,61.95,15.766026069020134,7.410041348587698,0
sbt_24791,25.623496357506525,163.8,15.643160169417902,5.7226835503758515,0
sbt_3174,25.623487462996323,163.8,15.643154739313994,5.722685165494604,0
rbt_609688,11.268129112801384,76.65,14.700755528768926,5.271887115568043,0
smt_19119,21.153661571639798,163.8,12.9143233038094,7.808654804175467,0
smt_29422,21.153164798680884,163.8,12.914020023614704,7.808826389021707,0
smt_17184,21.15256571401503,163.8,12.913654282060458,7.808246744383669,0
rbt_606139,9.383603280904355,76.65,12.24214387593523,4.34305843736346,0
rbt_623004,7.3324638573741066,61.95,11.83609985048282,4.5140770965108254,0
rbt_1638954,7.1515193170077405,61.95,11.544018267970525,5.425911551209538,0
rbt_1607265,10.051239326898779,90.3,11.1309405613497,5.237818457333884,0
sbt_11363,18.218607029582707,163.8,11.122470714030957,4.075305812782645,0
sbt_9361,21.546627985731547,216.3,9.961455379441308,4.691193619932034,0
rbt_635543,5.871650972029422,61.95,9.478048380999873,3.6785697259018666,0
rbt_606121,5.803876590724522,61.95,9.368646635552095,4.401877498291124,0
rbt_1605991,5.551415039126326,61.95,8.961121935635715,4.212753419921271,0
rbt_1607280,5.506527415359538,61.95,8.888664108732103,4.177244750068502,0
sbt_34393,11.080749812479398,128.1,8.650077917626385,5.686660275204159,0
rbt_606114,7.529381780439086,90.3,8.338185803365544,3.919137247474491,0
rbt_627337,7.329786225398934,90.3,8.117149751272352,3.8167095168171046,0
rbt_1621994,7.1886845986086865,90.3,7.960891028359564,3.740977277860994,0
rbt_626678,7.0258477596745,90.3,7.780562303072536,3.658835806540054,0
